S:2018-04-16 11:54:20 E:2020-03-31 12:17:38 Price:5.85}],S:2011-03-25 00:00:17 S:2015-05-09 22:43:49 S:2016-11-30 23:55:34 S:2017-01-10 17:25:51 S:2017-01-14 17:22:35 S:2017-01-18 17:12:48 S:2017-01-20 18:08:20 S:2017-01-21 08:31:42 S:2017-01-23 15:08:14 S:2017-01-28 15:25:12 S:2017-01-29 18:32:03 S:2017-04-30 08:18:17 S:2017-09-28 08:12:46 S:2017-10-01 14:00:14 S:2017-10-02 03:18:43 S:2017-10-04 20:46:01 S:2017-10-15 01:30:34 S:2017-10-26 04:35:52 S:2017-11-27 18:37:25 S:2017-11-27 21:44:30 S:2017-11-27 22:45:22 S:2017-12-19 15:06:54 S:2017-12-19 16:07:37 S:2017-12-23 23:01:46 S:2017-12-24 00:02:53 S:2017-12-24 21:10:02 S:2017-12-24 22:10:18 S:2018-01-14 23:37:23 S:2018-01-15 00:38:26 S:2018-04-16 10:53:23 S:2018-04-16 11:54:20S:2011-03-25 00:00:17 E:2015-05-09 22:43:49 Price:null
S:2015-05-09 22:43:49 E:2016-11-30 23:55:34 Price:10.99
S:2016-11-30 23:55:34 E:2017-01-10 17:25:51 Price:14.92
S:2017-01-10 17:25:51 E:2017-01-14 17:22:35 Price:11.46
S:2017-01-14 17:22:35 E:2017-01-18 17:12:48 Price:12.9
S:2017-01-18 17:12:48 E:2017-01-20 18:08:20 Price:12.81
S:2017-01-20 18:08:20 E:2017-01-21 08:31:42 Price:12.77
S:2017-01-21 08:31:42 E:2017-01-23 15:08:14 Price:12.28
S:2017-01-23 15:08:14 E:2017-01-28 15:25:12 Price:12.2
S:2017-01-28 15:25:12 E:2017-01-29 18:32:03 Price:12.04
S:2017-01-29 18:32:03 E:2017-04-30 08:18:17 Price:11.63
S:2017-04-30 08:18:17 E:2017-09-28 08:12:46 Price:11.36
S:2017-09-28 08:12:46 E:2017-10-01 14:00:14 Price:11.56
S:2017-10-01 14:00:14 E:2017-10-02 03:18:43 Price:11.54
S:2017-10-02 03:18:43 E:2017-10-04 20:46:01 Price:11.57
S:2017-10-04 20:46:01 E:2017-10-15 01:30:34 Price:11.54
S:2017-10-15 01:30:34 E:2017-10-26 04:35:52 Price:12.64
S:2017-10-26 04:35:52 E:2017-11-27 18:37:25 Price:12.69
S:2017-11-27 18:37:25 E:2017-11-27 21:44:30 Price:5.85
S:2017-11-27 21:44:30 E:2017-11-27 22:45:22 Price:null
S:2017-11-27 22:45:22 E:2017-12-19 15:06:54 Price:5.85
S:2017-12-19 15:06:54 E:2017-12-19 16:07:37 Price:null
S:2017-12-19 16:07:37 E:2017-12-23 23:01:46 Price:5.85
S:2017-12-23 23:01:46 E:2017-12-24 00:02:53 Price:null
S:2017-12-24 00:02:53 E:2017-12-24 21:10:02 Price:5.85
S:2017-12-24 21:10:02 E:2017-12-24 22:10:18 Price:null
S:2017-12-24 22:10:18 E:2018-01-14 23:37:23 Price:5.85
S:2018-01-14 23:37:23 E:2018-01-15 00:38:26 Price:null
S:2018-01-15 00:38:26 E:2018-04-16 10:53:23 Price:5.85
S:2018-04-16 10:53:23 E:2018-04-16 11:54:20 Price:null
S:2018-04-16 11:54:20 E:2020-03-31 12:17:38 Price:5.85}],S:2011-03-25 00:00:17 S:2015-05-09 22:43:49 S:2016-11-30 23:55:34 S:2017-01-10 17:25:51 S:2017-01-14 17:22:35 S:2017-01-18 17:12:48 S:2017-01-20 18:08:20 S:2017-01-21 08:31:42 S:2017-01-23 15:08:14 S:2017-01-28 15:25:12 S:2017-01-29 18:32:03 S:2017-04-30 08:18:17 S:2017-09-28 08:12:46 S:2017-10-01 14:00:14 S:2017-10-02 03:18:43 S:2017-10-04 20:46:01 S:2017-10-15 01:30:34 S:2017-10-26 04:35:52 S:2017-11-27 18:37:25 S:2017-11-27 21:44:30 S:2017-11-27 22:45:22 S:2017-12-19 15:06:54 S:2017-12-19 16:07:37 S:2017-12-23 23:01:46 S:2017-12-24 00:02:53 S:2017-12-24 21:10:02 S:2017-12-24 22:10:18 S:2018-01-14 23:37:23 S:2018-01-15 00:38:26 S:2018-04-16 10:53:23 S:2018-04-16 11:54:20
